@relation device-data-weka.filters.unsupervised.instance.Resample-S1-Z10.0

@attribute hour numeric
@attribute weekday numeric
@attribute running_days numeric
@attribute cpu numeric
@attribute memory numeric
@attribute storage numeric
@attribute cpu_temperature numeric
@attribute temperature numeric
@attribute humidity numeric
@attribute air_conditioner numeric
@attribute heater numeric
@attribute failure {0, 1}

@data
20,3,0,29,80,89,59.4,20.8,34.4,0,0,0
23,2,0,4,97,85,58.1,14.9,46.2,0,1,0
21,3,0,65,90,95,57.4,18.2,39.6,0,0,0
22,5,1,24,86,95,55.6,18.6,38.8,0,0,0
11,5,0,26,82,78,58.1,24.9,26.2,0,0,0
4,3,0,86,78,79,58.6,15.6,44.8,0,0,0
13,5,1,58,90,91,57,24.6,26.8,1,0,0
0,5,0,100,99,56,57.8,15.1,45.8,0,1,0
8,5,0,94,100,87,56.4,18.9,38.2,0,0,0
20,0,0,58,88,95,53.5,17.6,40.8,0,0,0
1,0,2,58,88,95,54.7,15.6,44.8,0,1,0
9,3,0,64,100,75,57.9,20.3,35.4,0,0,0
18,1,0,93,100,69,54.6,21.9,32.2,0,0,0
13,3,0,45,83,79,57.4,24.6,26.8,1,0,0
21,3,0,44,100,93,57.3,18.3,39.4,0,0,0
15,2,0,85,77,88,60.5,24.2,27.6,1,0,0
0,4,0,34,35,76,58,15.3,45.4,0,0,0
6,1,0,11,99,93,54.9,15.8,44.4,0,1,0
9,2,0,73,77,79,56.3,21.4,33.2,0,0,0
9,0,0,19,64,86,53.8,20.5,35,0,0,0
15,5,1,20,73,85,56.6,23,30,1,0,0
7,3,0,77,93,78,57.5,17.5,41,0,0,0
8,2,0,53,70,93,60.3,19.2,37.6,0,0,0
14,4,0,14,100,67,58.6,24.8,26.4,1,0,0
10,3,0,55,96,74,60.5,21.9,32.2,0,0,0
8,2,0,17,67,93,59.9,19.2,37.6,0,0,0
0,4,0,61,100,93,59.8,15,46,0,1,0
18,5,1,87,95,81,56.2,22.8,30.4,0,0,0
17,6,2,66,100,88,55,23.9,28.2,1,0,0
13,5,1,26,100,91,56.9,24.6,26.8,1,0,0
8,1,0,97,98,95,51.2,19.4,37.2,0,0,1
6,2,0,20,96,91,59.8,16.5,43,0,1,0
5,6,1,39,49,85,55.9,16.9,42.2,0,1,0
6,1,0,94,86,90,54.4,15.7,44.6,0,1,0
20,0,0,12,87,67,51.4,17.8,40.4,0,0,0
16,4,0,67,96,78,57.4,23.3,29.4,1,0,0
10,0,0,18,83,89,53,21.7,32.6,0,0,0
12,4,0,10,97,90,57.8,23.8,28.4,0,0,0
11,3,0,63,100,80,61.6,24.9,26.2,0,0,0
12,2,0,70,48,87,59.3,24.7,26.6,1,0,0
17,3,0,16,20,88,60.4,24.5,27,0,0,0
5,1,0,38,90,95,51.6,15.9,44.2,0,1,0
22,1,0,61,81,95,53.1,16.9,42.2,0,0,0
0,5,0,30,84,90,56.3,14.9,46.2,0,1,0
4,4,0,1,86,93,59.4,16.2,43.6,0,0,0
16,5,1,93,68,82,56.5,24.1,27.8,0,0,0
6,5,0,15,77,58,58.9,16,44,0,1,0
7,5,0,56,84,89,56.3,15.1,45.8,0,1,0
21,1,0,70,83,70,56.1,17.1,41.8,0,0,0
2,4,0,63,38,76,58.1,15.4,45.2,0,1,0
2,4,0,59,25,75,58,15.4,45.2,0,1,0
19,3,0,90,96,90,61.7,22.5,31,0,0,0
16,0,0,97,83,94,52.6,23.3,29.4,1,0,0
10,5,0,9,100,67,59.9,21.9,32.2,0,0,0
15,3,0,99,50,81,61.7,23.2,29.6,0,0,0
14,6,2,3,85,81,54.8,23,30,1,0,0
14,4,0,24,70,88,57.6,24.3,27.4,1,0,0
3,2,0,16,100,73,58.1,15,46,0,0,0
16,1,0,5,100,77,55.2,24.3,27.4,1,0,0
4,4,0,69,100,89,57.8,15.3,45.4,0,0,0
12,1,0,39,96,95,56.2,24.2,27.6,1,0,0
3,0,2,66,98,95,54.3,16.6,42.8,0,1,0
1,4,0,66,95,93,60,15.3,45.4,0,1,0
15,1,0,32,74,84,54.9,25,26,1,0,0
8,4,0,69,76,77,57.8,17,42,0,0,0
2,4,0,46,42,75,57.8,15.5,45,0,1,0
13,3,0,52,96,79,56.9,24.5,27,1,0,0
2,4,0,75,28,76,58.4,15.2,45.6,0,1,0
14,1,0,14,97,86,56.1,23.8,28.4,0,0,0
21,5,1,21,81,93,55.3,19.8,36.4,0,0,0
13,2,0,43,61,83,59.5,24.5,27,1,0,0
9,3,0,41,98,73,60.5,19.8,36.4,0,0,0
15,5,1,81,84,85,56.6,22.9,30.2,0,0,0
17,1,0,73,87,73,55.3,23.2,29.6,1,0,0
8,1,0,93,88,95,54.1,17.7,40.6,0,0,0
3,6,1,85,47,95,57.3,15.5,45,0,1,0
12,5,0,99,81,95,55.2,24.3,27.4,1,0,0
14,4,0,25,94,79,57.7,24,28,1,0,0
